"Code","Département","Nom","Latitude","Longitude","Altitude"
"06075001","06","LEVENS-OBS",43.866667,7.216667,565
"06075006","06","LEVENS_RESERVOIRS",43.861667,7.236667,668
"06075007","06","LEVENS",43.846333,7.21,691
"06077001","06","LUCERAM-OBS",43.933333,7.366667,1420
"06077006","06","PEIRA CAVA",43.929167,7.363333,1443
"06079002","06","MANDELIEU LA NAPOULE_SAPC",43.523667,6.898667,104
"06081001","06","LE MAS",43.813667,6.809333,1525
"06083001","06","MENTON-OBS",43.784833,7.528833,12
"06083002","06","MENTP",43.783333,7.5,10
"06083005","06","MENTON",43.785833,7.488667,216
"06083006","06","MENTON-PORT",43.784,7.519333,19
"06084002","06","MOUANS SARTOUX",43.611833,6.951167,165
"06086001","06","MOULINET",43.942,7.414667,817
"06088001","06","NICE",43.648833,7.209,2
"06088003","06","NICE-COL",43.710333,7.301333,199
"06088005","06","NICE-FERIC",43.7175,7.2345,197
"06088007","06","NICE-RIMIEZ",43.738667,7.279167,238
"06088009","06","NICE-ST ROMAN",43.751667,7.216667,323
"06088011","06","NICE MONT-GROS",43.726333,7.2985,347
"06088020","06","NICE MASSENA",43.695333,7.2695,2
"06090001","06","PEGOMAS-TANNERON",43.562667,6.897,483
"06090002","06","PEGOMAS",43.602667,6.936667,109
"06091001","06","PEILLE-OBS",43.833333,7.4,630
"06091003","06","PEILLE",43.775167,7.428333,1106
"06091005","06","PEILLE-FONTBONNE",43.764167,7.425,793
"06091006","06","PEILLE COL DE LA MADONE",43.796,7.414667,848
"06092001","06","PEILLON",43.766333,7.356167,142
"06093001","06","LA PENNE",43.906333,6.933333,683
"06094001","06","PEONE-VALBERG",44.1,6.933333,1659
"06094002","06","PEONE",44.099667,6.930833,1784
"06094400","06","Valberg",44.087,6.941333,1630
"06099004","06","PUGET THENIERS_SAPC",43.956833,6.892333,449
"06102001","06","RIMPLAS_SAPC",44.067167,7.1335,1130
"06106002","06","ROQUESTERON",43.876333,7.006167,405
"06116002","06","ST AUBAN",43.847,6.727,1048
"06118001","06","ST CEZAIRE",43.645167,6.797667,474
"06118002","06","ST CEZAIRE SUR SIAGNE",43.678667,6.809,694
"06119001","06","ST-DALMAS-LE-SE",44.283333,6.85,1500
"06120001","06","TINEE-AURON",44.222667,6.937333,1605
"06120004","06","ST ETIENNE DE TINEE_SAPC",44.257667,6.921167,1150
"06120400","06","Auron",44.215333,6.9135,1910
"06121001","06","CAP FERRAT",43.683333,7.328333,138
"06125001","06","ST MARTIN D'ENTRAUNES_SAPC",44.154667,6.747,1642
"06127001","06","ST-MARTIN-DE-VESUBIE-OBS",44.074167,7.254167,994
"06127002","06","BOREON",44.116667,7.283333,1550
"06127003","06","ST MARTIN VESUBIE",44.073667,7.258167,1044
"06127006","06","SAINT MARTIN VESUBIE_SAPC",44.065667,7.255,899
"06130001","06","ST-VALLIER-OBS",43.716667,6.833333,715
"06130002","06","ST VALLIER",43.691333,6.843,708
"06135001","06","SIGALE",43.874,6.968667,629
"06136001","06","SOSPEL-OBS",43.9,7.433333,349
"06136003","06","SOSPEL",43.883333,7.45,360
"06136004","06","SOSPEL-COLLETTA",43.866667,7.433333,540
"06136005","06","SOSPEL",43.862833,7.433667,843
"06148001","06","TOURRETTES SUR LOUP",43.708167,7.055833,311
"06149001","06","LA TRINITE",43.7275,7.301,341
"06150001","06","LA TURBIE",43.741667,7.400167,495
"06151002","06","UTELLE",43.916667,7.266667,279
"06152001","06","VALBONNE",43.642167,7.037167,190
"06152002","06","VALBONNE-SOPHIA",43.623167,7.0285,238
"06153001","06","VALDEBLORE-OBS",44.066667,7.166667,1000
"06153004","06","VALDEBLORE",44.069,7.1695,1058
"06153400","06","MILLEFONTS-NIVOSE",44.118333,7.192,2430
"06154002","06","VALDEROURE",43.792333,6.7345,1105
"06157002","06","VENCE",43.716667,7.116667,321
"06158001","06","VILLARS-SUR-VAR",43.9345,7.088667,380
"06163001","06","TENDE-OBS",44.086667,7.595,792
"06163005","06","TENDE-CASTERINO",44.091833,7.5035,1554
"06163007","06","TENDE_SAPC",44.043167,7.586,636
"07005001","07","ALBA LA ROMAINE",44.539833,4.5825,223
"07005002","07","ALBA SA",44.538833,4.582833,223
"07010001","07","ANNONAY",45.246167,4.6705,336
"07011002","07","ANTRAIGUES",44.719167,4.352167,428
"07011004","07","ANTRAIGUES SA",44.712167,4.352167,600
"07012001","07","ARCENS",44.891333,4.307167,662
"07019001","07","AUBENAS/ECOLES",44.616667,4.388333,260
"07019003","07","AUBENAS PONT D'AUBENAS",44.616667,4.388333,310
"07019005","07","AUBENAS SA",44.601667,4.409833,176
"07025001","07","BARNAS RAD",44.666,4.159833,480
"07026001","07","BEAGE",44.848333,4.123333,1225
"07032002","07","BERZEME RAD",44.628333,4.566333,650
"07032003","07","BERZEME SA",44.6285,4.5665,760
"07033001","07","BESSAS",44.34,4.298667,251
"07042001","07","BOURG ST ANDEOL",44.372333,4.6415,74
"07064001","07","CHEYLARD SA",44.914833,4.4375,418
"07066001","07","CHOMERAC SA_RCE",44.6995,4.648333,216
"07066800","07","CHOMERAC SA_DOUBLE",44.697667,4.649167,212
"07068001","07","COLOMBIER JEUNE RAD",45.0155,4.671167,566
"07069001","07","COLOMBIER VIEUX SA",45.063667,4.698,408
"07075001","07","CROS GEORAND",44.780167,4.099667,1021
"07088001","07","FAUGERES",44.474667,4.136167,430
"07096001","07","GLUIRAS RAD",44.839333,4.524,760
"07099001","07","GRAS",44.429,4.5655,341
"07101001","07","GROSPIERRES",44.411333,4.300833,127
"07101002","07","GROSPIERRES SA",44.4115,4.295833,107
"07105001","07","ISSANLAS",44.773167,3.981667,1215
"07105003","07","ISSANLAS_SAPC",44.7555,3.975333,1264
"07107001","07","JAUJAC",44.632833,4.222167,550
"07110001","07","JOYEUSE",44.477667,4.230833,212
